crowd_rule_id,checkpoint_id,day_type,start_time,end_time,crowd_level,penalty_cost,description
MESS_LUNCH_OUT_CP040_01,OUT_CP040,weekday,12:00,14:00,high,15,
MESS_LUNCH_OUT_CP065_02,OUT_CP065,weekday,12:00,14:00,high,15,
MESS_LUNCH_OUT_CP067_03,OUT_CP067,weekday,12:00,14:00,high,15,
MOR_ENTRY_OUT_CP001_01,OUT_CP001,weekday,08:45,09:15,medium,10,
MOR_ENTRY_OUT_CP002_02,OUT_CP002,weekday,08:45,09:15,medium,10,
MOR_ENTRY_OUT_CP034_03,OUT_CP034,weekday,08:45,09:15,medium,10,
MOR_ENTRY_OUT_CP033_04,OUT_CP033,weekday,08:45,09:15,medium,10,
MOR_ENTRY_OUT_CP021_05,OUT_CP021,weekday,08:45,09:15,medium,10,
MOR_ENTRY_OUT_CP020_06,OUT_CP020,weekday,08:45,09:15,medium,10,
EVE_EXIT_OUT_CP001_01,OUT_CP001,weekday,16:45,17:15,low,5,
EVE_EXIT_OUT_CP002_02,OUT_CP002,weekday,16:45,17:15,low,5,
EVE_EXIT_OUT_CP034_03,OUT_CP034,weekday,16:45,17:15,low,5,
EVE_EXIT_OUT_CP033_04,OUT_CP033,weekday,16:45,17:15,low,5,
EVE_EXIT_OUT_CP021_05,OUT_CP021,weekday,16:45,17:15,low,5,
EVE_EXIT_OUT_CP020_06,OUT_CP020,weekday,16:45,17:15,low,5,
